Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2020,160383,,Submitted Data,2631 S Indiana Ave,60616,3.5,false,DOUGLAS,Multifamily Housing,247000,1972,1,,59,4511342.8,17590419.5,,,,89.5,125.9,93.9,130.5,1638.4,6.6,41.84526992,-87.62201708,"(41.84526992, -87.62201708)",2020-160383
2020,251451,Madero Middle -CPS,Submitted Data,3202 W 28th St,60623,2.0,false,SOUTH LAWNDALE,K-12 School,62071,1996,1,,15,2363458.7,3809910,,,,99.5,171.1,103,174.1,571.2,9.2,41.840909,-87.705078,"(41.840909, -87.705078)",2020-251451
2020,254153,Terra Cotta Commons Condominium,Submitted Data,1760 W Wrightwood Ave,60614,4.0,false,Lincoln Park,Multifamily Housing,63110,1920,1,,86,825649.4,1711368.1,,,,50.8,82.2,52.5,83.2,219.8,4.4,41.8842525,-87.63245,"(41.8842525, -87.63245)",2020-254153
2020,251235,,Submitted Data,110 E Delaware,60611,1.0,false,NEAR NORTH SIDE,Multifamily Housing,108587,1981,1,,4,5844800.9,1545771.6,,,,77.6,188.9,81.3,198.9,994.3,10.4,41.8992147,-87.62541324,"(41.8992147, -87.62541324)",2020-251235
2020,102336,Institute of Cultural Affairs,Submitted Data,4750 N Sheridan Rd,60640,4.0,false,UPTOWN,Office,206154,1921,1,,89,2249637.3,9225368.1,,,,66,90.7,70,94.6,926.8,5.1,41.96865627,-87.65524596,"(41.96865627, -87.65524596)",2020-102336
2020,160198,"The Blackstone, A Renaissance Hotel",Submitted Data,636 S Michigan Ave,60605,4.0,false,LOOP,Hotel,385000,2008,1,,99,6875145,11153711,,,,46.8,80.4,46.8,80.4,1665.4,4.3,41.87333117,-87.62422947,"(41.87333117, -87.62422947)",2020-160198
2020,256736,Jane Addams Elementary School,Submitted Data,10810 S Avenue H,60617,1.5,false,,K-12 School,54000,1948,1,,34,1563900.9,3503850.2,,,,81.7,129.9,92.7,144.4,430.2,6.9,41.74246,-87.58007,"(41.74246, -87.58007)",2020-256736
2020,173789,,Not Submitted,5332 5340 W Windsor,60630,0.0,false,PORTAGE PARK,,53018,,,,,,,,,,,,,,,,41.97200414,-87.75756578,"(41.97200414, -87.75756578)",2020-173789
2020,256458,United Center Office Building,Not Submitted,1901 W Madison St,60612,0.0,false,,,,,,,,,,,,,,,,,,,41.88125398,-87.67448493,"(41.88125398, -87.67448493)",2020-256458
2020,148673,,Submitted Data,1154  N CAMPBELL,60622,1.0,false,WEST TOWN,Multifamily Housing,52240,2005,1,,6,2329570.1,3276799.9,,,,107.6,191,111.8,194.8,537.6,10.3,41.90225377,-87.68447845,"(41.90225377, -87.68447845)",2020-148673
2020,121374,8522-Edgewater,Submitted Data,5201 Sheridan Rd,60640,3.5,false,EDGEWATER,Supermarket/Grocery Store,55129,2013,1,,55,9404755.4,6354424.8,,,,285.9,598.7,297,610.4,1805.3,32.7,41.976491,-87.654964,"(41.976491, -87.654964)",2020-121374
2020,160186,Crowne Plaza Chicago Metro,Submitted Data,733 W Madison St,60661,4.0,false,NEAR WEST SIDE,Hotel,114000,1968,1,,87,6706204.5,7115700.2,,,,69.1,131.2,71.7,136,1424.6,7.1,41.88176792,-87.6467544,"(41.88176792, -87.6467544)",2020-160186
2020,175523,222 West Hubbard Street,Submitted Data,222 W Hubbard St,60654,3.5,false,NEAR NORTH SIDE,Office,66095,1905,1,,76,2260402.2,1730722.9,,,,60.4,123.3,62.8,125.8,444.7,6.7,41.89022006,-87.63488473,"(41.89022006, -87.63488473)",2020-175523
2020,254164,,Submitted Data,6515 N Kenmore Ave,60660,4.0,false,Rogers Park,Library,124285,1930,1,,,4264045.2,3398007,,,,61.6,124.8,65.2,128.5,846,6.8,42.00094554,-87.65816364,"(42.00094554, -87.65816364)",2020-254164
2020,159902,Montgomery Place,Submitted Data,5550 S SHORE DR,60637,0.0,false,HYDE PARK,Multifamily Housing,225000,1991,1,,,,,,,,,,,,,,41.7937214,-87.58110439,"(41.7937214, -87.58110439)",2020-159902
2020,172670,Bricktown Square,Exempt,6560 W Fullerton Ave,60707,,true,BELMONT CRAGIN,,443313,,,,,,,,,,,,,,,,41.92368914,-87.78882768,"(41.92368914, -87.78882768)",2020-172670
2020,251416,Linne Elementary -CPS,Submitted Data,3221 N Sacramento Ave,60618,4.0,false,AVONDALE,K-12 School,105920,1895,1,,83,1690363,3212050,,,,46.3,76.5,50.4,81.4,434.4,4.1,41.94009886,-87.70193107,"(41.94009886, -87.70193107)",2020-251416
2020,251898,Durkin Park Elementary -CPS,Submitted Data,8445 S Kolin Ave,60652,3.5,false,ASHBURN,K-12 School,79722,1961,1,,57,2216222.5,2182680,,,,55.2,106.6,57.5,109,461.8,5.8,41.73937185,-87.73003923,"(41.73937185, -87.73003923)",2020-251898
2020,244200,Michigan Avenue Tower Condominium Association,Submitted Data,1250 S Michigan Ave,60605,3.5,false,NEAR SOUTH SIDE,Multifamily Housing,441181,2008,1,,51,11810740.5,14165958.4,,,,64.5,119.1,66.8,122.8,2595.7,6.4,41.8659887,-87.624587,"(41.8659887, -87.624587)",2020-244200
2020,100730,Congress Center,Submitted Data,525 W Van Buren,60607,4.0,false,NEAR WEST SIDE,Office,539738,2000,1,,77,22640612.2,,,,,42.9,120.2,44.5,124.6,3533.5,6.7,41.87630749,-87.6401831,"(41.87630749, -87.6401831)",2020-100730
2020,253957,,Submitted Data,7201-09 S Yates Blvd,60649,1.0,false,SOUTH SHORE,Multifamily Housing,101200,1926,1,,10,1340556.3,9883868.5,,,,110.9,139.6,118,147.1,734.2,7.3,41.76263015,-87.57255287,"(41.76263015, -87.57255287)",2020-253957
2020,103475,,Not Submitted,7235 7245 S JEFFERY BLVD,60649,0.0,false,SOUTH SHORE,,57776,,,,,,,,,,,,,,,,41.76259226,-87.57231648,"(41.76259226, -87.57231648)",2020-103475
2020,101999,,Submitted Data,1415  W LUNT AVE,60626,3.5,false,ROGERS PARK,Multifamily Housing,52000,1972,1,,80,837584.5,2768148,,,,85.9,125,90.7,129.4,277.8,6.6,42.01036185,-87.66829765,"(42.01036185, -87.66829765)",2020-101999
2020,252071,Library Tower Condo Assoc.,Submitted Data,520 S State St,60605,3.5,false,LOOP,Multifamily Housing,387025,2008,1,,72,7950181.2,14376343.1,,,,61.4,102.7,63.6,105.1,2004.4,5.5,41.87510719,-87.6279746,"(41.87510719, -87.6279746)",2020-252071
2020,251574,Ariel Elemenentary-CPS,Submitted Data,1119 E 46th St,60653,2.5,false,KENWOOD,K-12 School,147109,1893,1,,32,4164781,8226969.9,,,,84.2,138,89.1,141.3,1087,7.4,41.81098941,-87.59800845,"(41.81098941, -87.59800845)",2020-251574
2020,251668,Ravenswood Elementary -CPS,Submitted Data,4332 N Paulina St,60613,4.0,false,LAKE VIEW,K-12 School,76423,1915,1,,66,947881,4502900.4,,,,71.3,96.6,76.1,101.6,387.1,5.1,41.96092641,-87.6712754,"(41.96092641, -87.6712754)",2020-251668
2020,252054,"Rockefeller,Mitchell,Reynolds,Hutchinson,Zoology,Erman,Mandel,Oriental,Pres.Home",Submitted Data,5850 S Woodlawn Ave,60637,1.0,false,HYDE PARK,Museum,103012,1931,1,,,4468194.6,,8115450.9,7421459.9,,194.2,281.8,194,282.1,1627.3,15.8,41.78921164,-87.5964353,"(41.78921164, -87.5964353)",2020-252054
2020,252104,Warner Brothers,Submitted Data,2650 W Bradley Pl,60618,2.0,false,North Center,Office,275000,1981,3,,,14878881.9,4162790.1,,,,126.9,306.9,129.6,309.6,2543.2,17,41.9494826,-87.6937,"(41.9494826, -87.6937)",2020-252104
2020,173888,,Submitted Data,6628  N SHERIDAN RD,60626,4.0,false,ROGERS PARK,Residence Hall/Dormitory,85129,1971,1,,91,1479114.6,2938900.2,,,,51.9,84.9,55.8,89,386.9,4.5,42.01036185,-87.66829765,"(42.01036185, -87.66829765)",2020-173888
2020,251593,"Clay Elementary, Henry -CPS",Submitted Data,13221 S Burley,60633,3.0,false,HEGEWISCH,K-12 School,81950,1917,1,,43,1370731.8,5550389.7,,,,84.5,117.9,97.5,131.7,508.7,6.2,41.655086,-87.544686,"(41.655086, -87.544686)",2020-251593
2020,234641,Winston Towers II,Submitted Data,6833 N Kedzie Ave,60645,1.0,false,WEST RIDGE,Multifamily Housing,360669,1966,1,,27,6925520.8,23023027.5,,,,114.9,167.2,121.8,172.8,2303.7,8.8,42.00574707,-87.70855729,"(42.00574707, -87.70855729)",2020-234641
2020,254048,Catholic Charities: St. Leo Residence,Submitted Data,7750 S Emerald Ave,60620,1.5,false,Auburn Gresham,Multifamily Housing,67170,2006,1,,31,2413440.7,4708995.6,,,,108.5,178.3,110.4,180.3,626.8,9.5,41.73979805,-87.65349931,"(41.73979805, -87.65349931)",2020-254048
2020,119039,Churchview Manors and Churview supportive Living,Submitted Data,2626 2644 W 63RD ST,60629,1.0,false,CHICAGO LAWN,Senior Living Community,74185,2004,1,,25,2325856.1,5277976.8,,,,112.8,178.9,117.5,184.6,643.3,9.5,41.77517105,-87.71389848,"(41.77517105, -87.71389848)",2020-119039
2020,251429,Mayo Elementary -CPS,Submitted Data,245 E 37th St,60653,4.0,false,DOUGLAS,K-12 School,62750,1961,1,,65,1044686.8,3067909.7,,,,65.5,98,70.3,103.5,326,5.2,41.827401,-87.620126,"(41.827401, -87.620126)",2020-251429
2020,172485,,Submitted Data,36 50 N MENARD AVE,60644,4.0,false,AUSTIN,Multifamily Housing,91968,1930,,,82,927569.2,3339321.9,,,,62.8,89.8,65.6,92.6,322.1,4.7,41.88039405,-87.75826967,"(41.88039405, -87.75826967)",2020-172485
2020,255970,Hayden,Submitted Data,1109 W Washington,60607,2.5,false,NEAR WEST SIDE,Multifamily Housing,110435,2020,1,,38,3185730,5929664.5,,,,89,147.9,92.2,150.5,812.1,7.9,41.88,-87.6548399,"(41.88, -87.6548399)",2020-255970
2020,255027,,Submitted Data,720 S WELLS ST,60607,4.0,false,Loop,Multifamily Housing,563659,2018,1,,90,11644228.2,11383738.7,,,,50.6,97.9,51.9,99.4,2422,5.3,41.87284786,-87.63364515,"(41.87284786, -87.63364515)",2020-255027
2020,251588,"Taylor, Douglas -CPS",Submitted Data,9912 S Avenue H,60617,2.0,false,EAST SIDE,K-12 School,87628,1923,1,,21,1010667.5,9732470.2,,,,122.6,148.9,138.3,165.4,674.7,7.7,41.71516268,-87.5337866,"(41.71516268, -87.5337866)",2020-251588
2020,256653,,Not Submitted,3212 West Diversey Ave,,0.0,false,,,50000,,,,,,,,,,,,,,,,41.88425,-87.63245,"(41.88425, -87.63245)",2020-256653
